arg,tittle,genres,argumento
889,1-900 (06) (1994),Drama | Romance,"Sarah, 30, soltera, bien educada, le gusta el arte, coloca un anuncio de voz para el sexo telefónico, invitando respuestas de hombres menores de 35 años, robusta y sensual. Wilbert, un arquitecto de mediana edad gordito, deja un ..."
891,Halloween: la maldición de Michael Myers (Halloween 6: la maldición de Michael Myers) (1995),Horror | Suspenso,"Seis años después de que Michael Myers Último aterrorizó a Haddonfield, regresa allí en busca de su sobrina, Jamie Lloyd, quien se ha escapado de su recién nacido, por lo que Michael y un culto misterioso tienen planes siniestros."
892,Duodécima noche (1996),Comedia | drama | romance,"La comedia de la confusión de género de Shakespeare, en la que una niña se disfraza a sí misma como un hombre para estar cerca del conde, ella adora, solo para ser perseguida por la mujer que ama."
893,Noche de la Madre (1996),Drama,"Un espía estadounidense detrás de las líneas durante la Segunda Guerra Mundial sirve como propagandista nazi, un papel que no puede escapar en su vida futura, ya que nunca puede revelar su papel real en la guerra."
896,Cañas salvajes (Les Roseaux Sauvages) (1994),Drama,Los destinos de dos socios homosexuales están divididos.
897,Por quién los peajes de Bell (1943),Aventura | drama | romance | guerra,"Durante la Guerra Civil Española, un estadounidense aliado con los republicanos encuentra romance durante una misión desesperada de explotar un puente estratégicamente importante."
898,"Historia de Filadelfia, The (1940)",Comedia | drama | romance,"Cuando el ex marido de una mujer rica y un reportero tipo tabloide, aparecen justo antes de su recorre planificado, comienza a aprender la verdad sobre ella misma."
899,Singin 'en la lluvia (1952),Comedia | musical | romance,Una compañía de producción de cine silenciosa y el lanzamiento hacen una transición difícil al sonido.
900,"Americano en París, A (1951)",Musical | romance,Tres amigos luchan por encontrar trabajo en París. Las cosas se vuelven más complicadas cuando dos de ellos se enamoran de la misma mujer.
901,Cara divertida (1957),Comedia | musical,Una sesión de moda improvisada en una librería trae un nuevo descubrimiento de modelos de moda en el empleado de la tienda.
902,Desayuno en Tiffany's (1961),Drama | Romance,"Una joven socialita de Nueva York se interesa en un joven que se ha trasladado a su edificio de apartamentos, pero su pasado amenaza con interponerse."
903,Vértigo (1958),Drama | Misterio | Romance | Thriller,"Un ex detective policial, los juegos de malabares luchan con sus demonios personales y se obsesionan con una mujer inquietante hermosa."
904,Ventana trasera (1954),Misterio | Suspenso,Un fotógrafo con unido a la silla de ruedas espía a sus vecinos desde su ventana de apartamentos y se convence de que uno de ellos ha comprometido asesinato.
905,Sucedió una noche (1934),Comedia | romance,"Un reportero renegado y una loca heredera joven se reúnen en un autobús dirigiéndose a Nueva York, y terminan atrapados entre sí cuando el autobús los deja atrás en una de las paradas."
906,Gaslight (1944),Drama | Suspenso,"Años después de su tía fue asesinada en su casa, una joven regresa a la casa con su nuevo marido. Sin embargo, tiene un secreto que hará cualquier cosa para proteger, incluso si significa conducir a su esposa."
907,"Divorcio gay, el (1934)",Comedia | musical | romance,Una mujer piensa que un hombre coqueteo es el co-encuestado que su abogado ha contratado para acelerar su divorcio.
908,Norte por Northwest (1959),Acción | Aventura | Misterio | Romance | Thriller,Un ejecutivo de publicidad de la ciudad de Nueva York continúa corriendo después de ser confundido con un agente del gobierno por un grupo de espías extranjeras.
909,"Apartamento, el (1960)",Comedia | drama | romance,"Un hombre trata de levantarse en su compañía al permitir que sus ejecutivos usen su apartamento para los citas, pero las complicaciones y el romance de su propio año."
910,A algunos les gusta caliente (1959),Comedia | crimen,"Después de que dos músicos masculinos testigos de un golpe de la mafia, huyen del estado en una banda más femenina disfrazada de mujeres, pero otras complicaciones establecidas."
911,Charade (1963),Comedia | crimen | misterio | romance | thriller,"El romance y el suspenso se producen en París como una mujer es perseguida por varios hombres que quieren una fortuna, su marido asesinado había robado. ¿Con quién puede ella confiar?"
912,Casablanca (1942),Drama | Romance,Un propietario de Café Americano de Expatriado Cynical lucha por decidir si ayudar a su antiguo amante y a su esposo fugitivo escapar de los nazis en francés Marruecos.
913,"Halcón maltés, el (1941)",Película-noir | misterio,"Un detective privado adquiere un caso que lo involucra con tres criminales excéntricos, un mentiroso magnífico y su búsqueda de una estatuilla sin precio."
914,Mi dama justa (1964),Comedia | drama | musical | romance,El profesor de fonéticos de Snobish Henry Higgins acepta una apuesta que puede hacer que las flores Eliza Doolittle presentable en la alta sociedad.
915,Sabrina (1954),Comedia | romance,"Un Playboy se interesa en la hija del chofer de su familia, pero es su hermano más serio, quien sería el mejor hombre para ella."
916,Vacaciones romanas (1953),Comedia | drama | romance,Una princesa aburrida y protegida se escapa a sus guardianes y se enamora de un periodista estadounidense en Roma.
917,"Pequeña princesa, la (1939)",Niños | drama,"Su padre queda una niña en un exclusivo seminario para niñas, cuando su padre lucha en la segunda guerra de Boer. Más tarde, cuando se presume muerto, ella se ve obligada a convertirse en un sirviente."
918,Me conoce en St. Louis (1944),Musical,El amor joven y los miedos infantiles destacan un año en la vida de una familia de principios de siglo.
919,"Mago de Oz, el (1939)",Aventura | Niños | Fantasía | Musical,Dorothy Gale es arrastrada de una granja en Kansas a una tierra mágica de oz en un tornado y se embarca en una búsqueda con sus nuevos amigos para ver al asistente que puede ayudarla a volver a casa a Kansas y ayudar a sus amigos también.
920,Ido con el viento (1939),Drama | Romance | Guerra,Una mujer manipuladora y un hombre pícaro realizan un romance turbulento durante los períodos de guerra civil y reconstrucción estadounidenses.
921,Mi año favorito (1982),Comedia,Se guarda un Matinee Idol disuelto para aparecer en un programa de variedades de televisión en vivo.
922,Sunset BRVD. (a.k.a. Sunset Boulevard) (1950),Drama | Película-Noir | Romance,Un guionista desarrolla una relación peligrosa con una estrella de película descolorida determinada para hacer un regreso triunfante.
923,CIUDADANO KANE (1941),Drama | Misterio,"Tras la muerte de Publishing Tycoon Charles Foster Kane, los reporteros se luchan por descubrir el significado de su expresión final"
924,2001: Un espacio Odyssey (1968),Aventura | drama | ciencia ficción,"Después de descubrir un misterioso artefacto enterrado debajo de la superficie lunar, la humanidad se apaga en una búsqueda para encontrar sus orígenes con la ayuda de la supercomputadora inteligente H.A.L. 9000."
926,Todo sobre Eve (1950),Drama,"Un aparentemente tímido pero secretamente despiadado en inglés, se insinúa a las vidas de una estrella de ancho de ancianos y su círculo de amigos de teatro."
927,"Mujeres, la (1939)",Comedia,Un estudio de las vidas y enredos románticos de diversas mujeres interconectadas.
928,Rebecca (1940),Drama | Misterio | Romance | Thriller,Una mujer autoconsciente se adapta a su nuevo papel como la esposa de un aristócrata y evitando ser intimidado por la presencia espectral de su primera esposa.
929,Corresponsal extranjero (1940),Drama | Película-Noir | Misterio | Thriller,"En la víspera de la Segunda Guerra Mundial, un joven reportero estadounidense trata de exponer a los agentes enemigos en Londres."
930,Notorio (1946),Película-Noir | Romance | Thriller,Se le pide a una mujer que espía a un grupo de amigos nazis en América del Sur. ¿Qué tan lejos tendrá que ir a ingrarse con ellos?
931,Spellbound (1945),Misterio | Romance | Thriller,Un psiquiatra protege la identidad de un paciente de amnesia acusado de asesinato al intentar recuperar su memoria.
932,"Asunto para recordar, un (1957)",Drama | Romance,"Una pareja se enamora y acepta reunirse en seis meses en el Empire State Building, ¿pero sucederá?"
933,Para atrapar a un ladrón (1955),Crimen | misterio | romance | thriller,Un ladrón de joya retirado se propone probar su inocencia después de que se sospeche de regresar a su antigua ocupación.
934,Padre de la novia (1950),Comedia,"El padre de una joven se ocupa del dolor emocional de su casamiento, junto con el problema financiero y organizativo de organizar la boda."
935,"Band Wagon, The (1953)",Comedia | musical,Un director artístico pretenciosidad es contratado para un nuevo musical de Broadway y lo cambia más allá del reconocimiento.
936,Ninotchka (1939),Comedia | romance,Una mujer rusa severa enviada a París en el negocio oficial se encuentra atraída por un hombre que representa todo lo que se supone que debe detestar.
937,Amor por la tarde (1957),Comedia | romance,Un playboy de mediana edad se fascina por la hija de un detective privado que ha sido contratado para atraparlo con la esposa de un cliente.
938,GIGI (1958),Musical,"Cansado de las convenciones de la sociedad parisina, un rico Playboy y un juventud de la capacitación de cortesana disfrutan de una amistad platónica que no puede permanecer platón por mucho tiempo."
940,"Aventuras de Robin Hood, The (1938)",Acción | aventura | romance,"Cuando el príncipe John y los señores normandés comienzan a oprimir a las masas sajones en la ausencia del rey Richard, un Señor Sajón lucha contra el líder de proscritos de un ejército guerrillero rebelde."
941,"Marca de Zorro, el (1940)",Aventuras,"Un joven aristócrata español debe masquerade como un FOP para mantener su identidad secreta de Zorro, ya que restaura la justicia a los primeros California."
942,Laura (1944),Crimen | Película-Noir | Misterio,Un detective de la policía se enamora de la mujer cuyo asesinato está investigando.
943,"Ghost y la Sra. Muir, The (1947)",Drama | Fantasía | Romance,"En 1900, una viuda joven encuentra que su casa costera está encantada y forma una relación única con el fantasma."
944,Horizonte perdido (1937),Drama,"Cuando el plano de un diplomático sabio se estrella en las nieves del Tíbet, él y los otros sobrevivientes se guían a Shangri-la, donde luchan con la invitación a quedarse."
945,Sombrero de copa (1935),Comedia | musical | romance,"Un bailarín estadounidense llega a Gran Bretaña y cae para un modelo al que inicialmente se molestó, pero lo confunde por su productor tonto."
946,Ser o no ser (1942),Comedia | drama | guerra,"Durante la ocupación nazi de Polonia, una compañía de actor se envía en los esfuerzos de un soldado polaco para rastrear a un espía alemán."
947,Mi hombre Godfrey (1936),Comedia | romance,"Una Socialite ScapterBeed Hirece un vagabundo como un mayordomo de familia, pero hay más para Godfrey de lo que parece."
948,Gigante (1956),Drama | Romance | Western,Epic en exposición que cubre la vida de un ranchero de ganado Texas y su familia y sus asociados.
949,Al este de Eden (1955),Drama,"Dos hermanos luchan por mantener su carácter del padre estricto, de la Biblia."
950,"Hombre delgado, el (1934)",Comedia | crimen,"El ex detective Nick Charles y su rica esposa Nora investigan un caso de asesinato, principalmente por la diversión."
951,Su niña viernes (1940),Comedia | romance,Un editor de periódicos utiliza cada truco en el libro para evitar que su ex esposa reportera de ACE vuelva a recordar.
952,En todo el mundo en 80 días (1956),Aventura | comedia,Un inglés victoriano apuesta a que con los nuevos vapor y los ferrocarriles pueden circunnavegar el globo en ochenta días.
953,Es una vida maravillosa (1946),Niños | Drama | Fantasía | Romance,Un ángel es enviado desde el cielo para ayudar a un empresario desesperadamente frustrado mostrándole cómo habría sido la vida si nunca hubiera existido.
